[2025-07-05 01:13:39] [INFO    ] discord.client: logging in using static token
[2025-07-05 01:13:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'downforacross', 'primary_guild': None, 'mfa_enabled': False, 'id': '1390894663199625288', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8935', 'clan': None, 'bot': True, 'avatar': '3f57306c57c4a767fa951478dc29f4b1'}, 'session_type': 'normal', 'session_id': 'd2242f2d8723dfbe6f697b9d8394afe0', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1390893847919198261'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'newark', 'atlanta', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1390894663199625288', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-32q5",{"micros":182748,"calls":["id_created",{"micros":471,"calls":[]},"session_lookup_time",{"micros":251,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-139",{"micros":181606,"calls":["start_session",{"micros":143647,"calls":["discord-api-rpc-b7d56974-fhbr8",{"micros":105679,"calls":["get_user",{"micros":4717},"get_guilds",{"micros":4112},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":16},"pending_payments",{"micros":4372},"apex_experiments",{"micros":21927},"user_activities",{"micros":5},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":22,"calls":[]},"presence_started",{"micros":4076,"calls":[]},"guilds_started",{"micros":76,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":33765,"calls":[]},"connect_finished",{"micros":33770,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-05 01:13:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:40] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: d2242f2d8723dfbe6f697b9d8394afe0).
[2025-07-05 01:13:40] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-05 01:13:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'latest_onboarding_question_id': None, 'explicit_content_filter': 0, 'profile': None, 'nsfw_level': 0, 'premium_progress_bar_enabled': False, 'embedded_activities': [], 'home_header': None, 'system_channel_flags': 0, 'max_video_channel_users': 25, 'premium_features': None, 'channels': [{'version': 1751685334974, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1390893847919198262', 'flags': 0}, {'version': 1751685334977, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1390893847919198263', 'flags': 0}, {'version': 1751685334984, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1390893847919198262', 'name': 'general', 'last_message_id': '1390921688517967882', 'id': '1390893847919198264', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1751685334989, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1390893847919198263', 'name': 'General', 'last_message_id': None, 'id': '1390893847919198265', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'rules_channel_id': None, 'soundboard_sounds': [], 'features': [], 'region': 'deprecated', 'id': '1390893847919198261', 'mfa_level': 0, 'unavailable': False, 'application_command_counts': {}, 'name': "luminescentporcupine's server", 'member_count': 2, 'nsfw': False, 'moderator_reporting': None, 'owner_id': '621383088995434517', 'threads': [], 'icon': None, 'splash': None, 'verification_level': 0, 'discovery_splash': None, 'stage_instances': [], 'description': None, 'incidents_data': None, 'preferred_locale': 'en-US', 'max_members': 2500000, 'application_id': None, 'max_stage_video_channel_users': 50, 'banner': None, 'system_channel_id': '1390893847919198264', 'afk_timeout': 300, 'members': [{'user': {'username': 'downforacross', 'public_flags': 0, 'primary_guild': None, 'id': '1390894663199625288', 'global_name': None, 'display_name': None, 'discriminator': '8935', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3f57306c57c4a767fa951478dc29f4b1'}, 'roles': ['1390921109171470339'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T05:03:54.563362+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'default_message_notifications': 0, 'hub_type': None, 'emojis': [], 'premium_subscription_count': 0, 'inventory_settings': None, 'roles': [{'version': 1751685334972, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1390893847919198261', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1751691152105, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'cruciverbalists', 'mentionable': False, 'managed': False, 'id': '1390918188249649152', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1751692408160, 'unicode_emoji': None, 'tags': {'bot_id': '1390894663199625288'}, 'position': 2, 'permissions': '563829079927872', 'name': 'downforacross', 'mentionable': False, 'managed': True, 'id': '1390921109171470339', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'joined_at': '2025-07-05T05:03:54.563362+00:00', 'voice_states': [], 'safety_alerts_channel_id': None, 'stickers': [], 'activity_instances': [], 'large': False, 'presences': [], 'guild_scheduled_events': [], 'owner_configured_content_level': 0, 'lazy': True, 'version': 1751691131304, 'premium_tier': 0, 'afk_channel_id': None, 'public_updates_channel_id': None, 'vanity_url_code': None}}
[2025-07-05 01:13:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '3a168eabe9edb14c7b643713d0c656be', 'members': [{'user': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'display_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'downforacross', 'public_flags': 0, 'primary_guild': None, 'id': '1390894663199625288', 'global_name': None, 'display_name': None, 'discriminator': '8935', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3f57306c57c4a767fa951478dc29f4b1'}, 'roles': ['1390921109171470339'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T05:03:54.563362+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1390893847919198261', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-05 01:13:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:40] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1390893847919198261.
[2025-07-05 01:13:42] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-05 01:13:42] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-05 01:13:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '621383088995434517', 'timestamp': 1751692425, 'member': {'user': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'display_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1390893847919198264', 'guild_id': '1390893847919198261'}}
[2025-07-05 01:13:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:45] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-05 01:13:45] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-05 01:13:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-05T05:13:46.281000+00:00', 'pinned': False, 'nonce': '1390923590005686272', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1390923591318503445', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1390893847919198264', 'author': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'attachments': [], 'guild_id': '1390893847919198261'}}
[2025-07-05 01:13:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:46] [DEBUG   ] discord.client: Dispatching event message
[2025-07-05 01:13:46] [DEBUG   ] discord.client: Dispatching event command
[2025-07-05 01:13:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-05T05:13:46.436000+00:00', 'pinned': False, 'nonce': '11185122596881044315', 'mentions': [{'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1390921109171470339'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T05:03:54.563362+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1390923591968620586', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello <@621383088995434517>!', 'components': [], 'channel_type': 0, 'channel_id': '1390893847919198264', 'author': {'username': 'downforacross', 'public_flags': 0, 'primary_guild': None, 'id': '1390894663199625288', 'global_name': None, 'discriminator': '8935', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3f57306c57c4a767fa951478dc29f4b1'}, 'attachments': [], 'guild_id': '1390893847919198261'}}
[2025-07-05 01:13:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:46] [DEBUG   ] discord.client: Dispatching event message
[2025-07-05 01:13:46] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1390893847919198264/messages with {"content":"Hello <@621383088995434517>!","components":[],"nonce":"11185122596881044315","enforce_nonce":true,"tts":false} has returned 200
[2025-07-05 01:13:46] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-07-05 01:13:46] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1390893847919198264/messages has received {'type': 0, 'content': 'Hello <@621383088995434517>!', 'mentions': [{'id': '621383088995434517', 'username': 'luminescentporcupine', 'avatar': '8ec424ae1a5dfb00c064cea69030a643', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 2165806, 'global_name': 'luminescentporcupine', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#210c2e', 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-05T05:13:46.436000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1390923591968620586', 'channel_id': '1390893847919198264', 'author': {'id': '1390894663199625288', 'username': 'downforacross', 'avatar': '3f57306c57c4a767fa951478dc29f4b1', 'discriminator': '8935', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'bac7080e6ec1d906ba48a58a379bc6e9', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '11185122596881044315'}
[2025-07-05 01:13:46] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-07-05 01:13:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 7, 'op': 0, 'd': {'user_id': '621383088995434517', 'timestamp': 1751692428, 'member': {'user': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'display_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1390893847919198264', 'guild_id': '1390893847919198261'}}
[2025-07-05 01:13:48] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:48] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-05 01:13:48] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-05 01:13:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-05T05:13:49.440000+00:00', 'pinned': False, 'nonce': '1390923603595231232', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1390923604568572026', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!pingme', 'components': [], 'channel_type': 0, 'channel_id': '1390893847919198264', 'author': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'attachments': [], 'guild_id': '1390893847919198261'}}
[2025-07-05 01:13:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:49] [DEBUG   ] discord.client: Dispatching event message
[2025-07-05 01:13:49] [DEBUG   ] discord.client: Dispatching event command
[2025-07-05 01:13:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 9, 'op': 0, 'd': {'user': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'unusual_dm_activity_until': None, 'roles': ['1390918188249649152'], 'premium_since': None, 'pending': False, 'nick': None, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'guild_id': '1390893847919198261', 'flags': 0, 'communication_disabled_until': None, 'banner': None, 'avatar': None}}
[2025-07-05 01:13:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:49] [DEBUG   ] discord.client: Dispatching event member_update
[2025-07-05 01:13:49] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/guilds/1390893847919198261/members/621383088995434517/roles/1390918188249649152 with None has returned 204
[2025-07-05 01:13:49] [DEBUG   ] discord.http: PUT /guilds/{guild_id}/members/{user_id}/roles/{role_id} has found its initial rate limit bucket hash (b0bb9027ff6ae0c9619c2719f4a24de5).
[2025-07-05 01:13:49] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/guilds/1390893847919198261/members/621383088995434517/roles/1390918188249649152 has received 
[2025-07-05 01:13:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 10, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-05T05:13:50.069000+00:00', 'pinned': False, 'nonce': '6665292289312309271', 'mentions': [{'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': ['1390918188249649152'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1390921109171470339'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T05:03:54.563362+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1390923607206658058', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@621383088995434517> is now assigned to cruciverbalists', 'components': [], 'channel_type': 0, 'channel_id': '1390893847919198264', 'author': {'username': 'downforacross', 'public_flags': 0, 'primary_guild': None, 'id': '1390894663199625288', 'global_name': None, 'discriminator': '8935', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '3f57306c57c4a767fa951478dc29f4b1'}, 'attachments': [], 'guild_id': '1390893847919198261'}}
[2025-07-05 01:13:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:49] [DEBUG   ] discord.client: Dispatching event message
[2025-07-05 01:13:50] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1390893847919198264/messages with {"content":"<@621383088995434517> is now assigned to cruciverbalists","components":[],"nonce":"6665292289312309271","enforce_nonce":true,"tts":false} has returned 200
[2025-07-05 01:13:50] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1390893847919198264/messages has received {'type': 0, 'content': '<@621383088995434517> is now assigned to cruciverbalists', 'mentions': [{'id': '621383088995434517', 'username': 'luminescentporcupine', 'avatar': '8ec424ae1a5dfb00c064cea69030a643', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 2165806, 'global_name': 'luminescentporcupine', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#210c2e', 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-05T05:13:50.069000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1390923607206658058', 'channel_id': '1390893847919198264', 'author': {'id': '1390894663199625288', 'username': 'downforacross', 'avatar': '3f57306c57c4a767fa951478dc29f4b1', 'discriminator': '8935', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'bac7080e6ec1d906ba48a58a379bc6e9', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6665292289312309271'}
[2025-07-05 01:13:50] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-07-05 01:13:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 11, 'op': 0, 'd': {'user_id': '621383088995434517', 'timestamp': 1751692438, 'member': {'user': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'display_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'roles': ['1390918188249649152'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1390893847919198264', 'guild_id': '1390893847919198261'}}
[2025-07-05 01:13:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:58] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-05 01:13:58] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-05 01:13:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 12, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-05T05:14:00.113000+00:00', 'pinned': False, 'nonce': '1390923648138739712', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1390918188249649152'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1390923649334120479', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!dontpingme', 'components': [], 'channel_type': 0, 'channel_id': '1390893847919198264', 'author': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'attachments': [], 'guild_id': '1390893847919198261'}}
[2025-07-05 01:13:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:13:59] [DEBUG   ] discord.client: Dispatching event message
[2025-07-05 01:13:59] [DEBUG   ] discord.client: Dispatching event command
[2025-07-05 01:14:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 13, 'op': 0, 'd': {'user': {'username': 'luminescentporcupine', 'public_flags': 0, 'primary_guild': None, 'id': '621383088995434517', 'global_name': 'luminescentporcupine', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8ec424ae1a5dfb00c064cea69030a643'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'joined_at': '2025-07-05T03:15:34.917000+00:00', 'guild_id': '1390893847919198261', 'flags': 0, 'communication_disabled_until': None, 'banner': None, 'avatar': None}}
